Year,County,GEOID,Households,Poverty,ALICE,Above,ThresholdUnder65,Threshold65Plus
2024,Hempstead,05057,7479,1548,2558,3373,55791,45613
2010,Hot Spring,05059,12096,1879,3531,6686,35000,30000
2012,Hot Spring,05059,12291,1754,3737,6800,40000,30000
2014,Hot Spring,05059,12027,1927,3664,6436,40000,35000
2016,Hot Spring,05059,12226,2136,3495,6595,40000,35000
2018,Hot Spring,05059,12377,2131,4349,5897,45000,40000
2019,Hot Spring,05059,12599,2208,4039,6352,45000,40000
2021,Hot Spring,05059,12070,2089,4084,5897,50000,45000
2022,Hot Spring,05059,11900,2301,3968,5631,57720,46536
2023,Hot Spring,05059,12101,2224,3904,5973,56944,47676
2024,Hot Spring,05059,12310,2109,3791,6410,57149,46152
2010,Howard,05061,5158,974,1579,2605,35000,30000
2012,Howard,05061,5192,1053,1447,2692,35000,30000
2014,Howard,05061,5085,921,1421,2743,35000,30000
2016,Howard,05061,5068,977,1697,2394,40000,35000
2018,Howard,05061,5096,1006,1643,2447,40000,35000
2019,Howard,05061,5142,1032,1721,2389,45000,35000
2021,Howard,05061,5253,907,1765,2581,45000,35000
2022,Howard,05061,5224,896,1773,2555,49599,40145
2023,Howard,05061,5169,1016,1741,2412,49988,42193
2024,Howard,05061,5098,1139,1576,2383,51352,44113
2010,Independence,05063,15123,3138,3817,8168,30000,30000
2012,Independence,05063,14425,3224,4160,7041,35000,30000
2014,Independence,05063,14405,2965,3683,7757,35000,30000
2016,Independence,05063,14316,2464,4068,7784,35000,35000
2018,Independence,05063,14268,2204,4185,7879,40000,35000
2019,Independence,05063,14322,2183,4157,7982,40000,35000
2021,Independence,05063,14349,2696,4304,7349,50000,45000
2022,Independence,05063,14417,2803,4257,7357,52091,45502
2023,Independence,05063,14515,2760,4074,7681,52064,47232
2024,Independence,05063,14638,2923,3747,7968,53097,45924
2010,Izard,05065,5762,1081,1624,3057,30000,30000
2012,Izard,05065,5777,1150,1942,2685,35000,30000
2014,Izard,05065,5656,1078,1940,2638,35000,30000
2016,Izard,05065,5349,1065,1776,2508,40000,35000
2018,Izard,05065,5049,863,1764,2422,45000,35000
2019,Izard,05065,4851,735,1725,2391,50000,35000
2021,Izard,05065,4623,818,1672,2133,50000,45000
2022,Izard,05065,4850,946,1901,2003,61854,46368
2023,Izard,05065,5027,1011,1953,2063,60603,48336
2024,Izard,05065,5232,1048,2040,2144,59954,47508
2010,Jackson,05067,6391,1567,2276,2548,40000,30000
2012,Jackson,05067,6456,1584,2133,2739,40000,30000
2014,Jackson,05067,6402,1553,2003,2846,40000,30000
2016,Jackson,05067,6219,1452,2363,2404,45000,30000
2018,Jackson,05067,6095,1304,2410,2381,45000,35000
2019,Jackson,05067,6137,1323,2391,2423,45000,35000
2021,Jackson,05067,5978,1187,2371,2420,50000,45000
2022,Jackson,05067,6116,1325,2224,2567,54544,46488
2023,Jackson,05067,6094,1354,2249,2491,55301,47748
2024,Jackson,05067,6076,1348,2106,2622,56042,46140
2010,Jefferson,05069,28392,5317,10092,12983,40000,30000
2012,Jefferson,05069,28013,6467,8091,13455,40000,30000
2014,Jefferson,05069,28494,6783,9505,12206,40000,35000
2016,Jefferson,05069,26750,5664,7751,13335,40000,35000
2018,Jefferson,05069,25689,5422,9535,10732,50000,40000
2019,Jefferson,05069,27593,7400,7611,12582,45000,40000
2021,Jefferson,05069,24416,4864,9440,10112,60000,45000
2022,Jefferson,05069,24326,4770,9902,9654,61001,49261
2023,Jefferson,05069,23885,5497,7994,10394,57684,49260
2024,Jefferson,05069,24017,4589,8486,10942,58639,47832
2010,Johnson,05071,9256,1918,3004,4334,35000,25000
2012,Johnson,05071,10051,1824,3314,4913,35000,30000
2014,Johnson,05071,10023,2105,3068,4850,35000,30000
2016,Johnson,05071,10014,2087,3593,4334,40000,35000
2018,Johnson,05071,9800,2044,3526,4230,45000,35000
2019,Johnson,05071,9682,2004,3358,4320,45000,35000
2021,Johnson,05071,9849,1957,3760,4132,50000,40000
2022,Johnson,05071,9899,2140,3632,4127,52393,42864
2023,Johnson,05071,10047,2174,3264,4609,51353,45564
2024,Johnson,05071,10316,2229,3302,4785,51237,44532
2010,Lafayette,05073,2775,660,1023,1092,40000,30000
2012,Lafayette,05073,2773,709,954,1110,40000,30000
2014,Lafayette,05073,2827,777,888,1162,40000,35000
2016,Lafayette,05073,2947,855,783,1309,35000,35000
2018,Lafayette,05073,2859,709,918,1232,40000,40000
2019,Lafayette,05073,2784,667,910,1207,40000,40000
2021,Lafayette,05073,2500,526,910,1064,50000,40000
2022,Lafayette,05073,2547,566,854,1127,52558,45378
2023,Lafayette,05073,2564,726,806,1032,52186,47613
2024,Lafayette,05073,2622,651,784,1187,51062,46440
2010,Lawrence,05075,6768,1546,2152,3070,35000,30000
2012,Lawrence,05075,6609,1531,1888,3190,35000,30000
2014,Lawrence,05075,6630,1497,2109,3024,40000,30000
2016,Lawrence,05075,6603,1571,2082,2950,40000,35000
2018,Lawrence,05075,6531,1192,2024,3315,40000,35000
2019,Lawrence,05075,6463,1065,2394,3004,45000,40000
2021,Lawrence,05075,6260,1066,2441,2753,50000,45000
2022,Lawrence,05075,6359,1134,2353,2872,50632,46980
2023,Lawrence,05075,6437,1219,2306,2912,50840,47792
2024,Lawrence,05075,6613,1406,2146,3061,50065,46512
2010,Lee,05077,3516,1046,1123,1347,45000,30000
2012,Lee,05077,3401,1107,1190,1104,45000,30000
2014,Lee,05077,3488,1182,1141,1165,45000,30000
2016,Lee,05077,3541,1208,1215,1118,45000,35000
2018,Lee,05077,3352,980,1155,1217,50000,35000
2019,Lee,05077,3206,860,1043,1303,50000,35000
2021,Lee,05077,2767,801,1019,947,60000,40000
2022,Lee,05077,2586,773,954,859,71170,43351
2023,Lee,05077,2641,772,977,892,64935,45852
2024,Lee,05077,2690,926,922,842,65044,44354
2010,Lincoln,05079,4057,948,1533,1576,45000,30000
2012,Lincoln,05079,4129,1113,1293,1723,45000,30000
2014,Lincoln,05079,4195,1104,1108,1983,35000,35000
2016,Lincoln,05079,3940,898,1158,1884,35000,35000
2018,Lincoln,05079,3795,713,1120,1962,40000,40000
2019,Lincoln,05079,3773,712,1003,2058,40000,40000
2021,Lincoln,05079,3391,530,1119,1742,50000,45000
2022,Lincoln,05079,3378,620,1127,1631,56559,48252
2023,Lincoln,05079,3518,609,1135,1774,54434,49380
2024,Lincoln,05079,3592,680,1080,1832,55139,47928
2010,Little River,05081,5405,1006,1417,2982,30000,30000
2012,Little River,05081,5237,709,1558,2970,35000,30000
2014,Little River,05081,5241,902,1334,3005,35000,30000
2016,Little River,05081,5191,908,1656,2627,35000,35000
2018,Little River,05081,5440,887,1387,3166,35000,35000
2019,Little River,05081,5363,803,1544,3016,40000,35000
2021,Little River,05081,4753,591,1398,2764,50000,40000
2022,Little River,05081,4734,595,1501,2638,52543,45821
2023,Little River,05081,4790,887,1463,2440,51455,48372
2024,Little River,05081,4820,851,1392,2577,51456,46896
2010,Logan,05083,8161,1096,2361,4704,35000,30000
2012,Logan,05083,8442,1409,2430,4603,35000,30000
2014,Logan,05083,8439,1439,2443,4557,35000,30000
2016,Logan,05083,8401,1519,2957,3925,40000,35000
2018,Logan,05083,8464,1615,2650,4199,40000,40000
2019,Logan,05083,8417,1462,3044,3911,45000,40000
2021,Logan,05083,8271,1287,2684,4300,45000,45000
2022,Logan,05083,8405,1225,2765,4415,49897,44513
2023,Logan,05083,8484,1270,2486,4728,50284,45464
2024,Logan,05083,8521,1160,2238,5123,51595,43864
2010,Lonoke,05085,24702,3259,4631,16812,35000,35000
2012,Lonoke,05085,25384,2717,6141,16526,40000,35000
2014,Lonoke,05085,26688,2866,7176,16646,45000,40000
2016,Lonoke,05085,26327,2880,6821,16626,45000,40000
2018,Lonoke,05085,28132,3309,8556,16267,45000,45000
2019,Lonoke,05085,26052,3071,6921,16060,50000,45000
2021,Lonoke,05085,27277,3122,9584,14571,60000,50000
